"","user_id","anime_id","rating","watching_status","watched_episodes"
"1",1,37403,8,1,8
"2",1,9989,0,1,6
"3",1,24833,0,1,8
"4",1,7674,7,1,3
"5",1,34572,0,1,1
"6",1,34566,7,1,75
"7",1,2167,0,1,1
"8",1,40852,9,1,8
"9",1,10087,7,1,3
"10",1,38680,0,1,1
"11",1,40052,8,1,13
"12",1,40748,9,1,20
"13",1,1604,0,1,24
"14",1,20507,0,1,1
"15",1,21,9,1,958
"16",1,38483,0,1,1
"17",1,26243,7,1,1
"18",1,42203,9,1,2
"19",1,40028,10,1,11
"20",1,39551,0,1,1
"21",1,39617,0,1,2
"22",1,3972,7,1,48
"23",1,481,8,1,25
"24",1,22199,7,2,24
"25",1,6547,6,2,13
"26",1,9919,8,2,25
"27",1,5081,8,2,15
"28",1,31043,9,2,12
"29",1,31964,9,2,13
"30",1,33486,8,2,25
"31",1,36456,8,2,25
"32",1,38408,8,2,25
"33",1,28755,8,2,1
"34",1,1575,10,2,25
"35",1,35849,6,2,24
"36",1,1535,9,2,37
"37",1,18689,8,2,75
"38",1,38731,8,2,52
"39",1,30230,8,2,51
"40",1,38691,9,2,24
"41",1,38671,7,2,24
"42",1,40956,7,2,24
"43",1,5114,10,2,64
"44",1,37349,7,2,12
"45",1,20583,8,2,25
"46",1,28891,8,2,25
"47",1,32935,8,2,10
"48",1,38883,8,2,13
"49",1,40776,9,2,12
"50",1,37259,8,2,13
"51",1,11061,9,2,148
"52",1,37497,8,2,13
"53",1,37999,8,2,12
"54",1,40221,8,2,13
"55",1,37965,9,2,23
"56",1,18679,6,2,24
"57",1,38000,9,2,26
"58",1,32281,10,2,1
"59",1,22535,9,2,24
"60",1,28851,9,2,1
"61",1,30831,7,2,10
"62",1,32937,7,2,10
"63",1,11771,7,2,25
"64",1,16894,7,2,25
"65",1,24415,7,2,25
"66",1,34599,8,2,13
"67",1,19,9,2,74
"68",1,20,10,2,220
"69",1,442,7,2,1
"70",1,936,6,2,1
"71",1,2144,6,2,1
"72",1,1735,10,2,500
"73",1,2472,7,2,1
"74",1,4437,7,2,1
"75",1,6325,7,2,1
"76",1,8246,7,2,1
"77",1,10589,7,2,1
"78",1,13667,8,2,1
"79",1,19815,8,2,12
"80",1,30276,8,2,12
"81",1,34134,7,2,12
"82",1,14749,7,2,13
"83",1,36259,6,2,26
"84",1,31240,8,2,25
"85",1,39587,9,2,13
"86",1,13759,7,2,24
"87",1,37450,10,2,13
"88",1,38329,9,2,1
"89",1,199,10,2,1
"90",1,154,8,2,64
"91",1,23273,9,2,22
"92",1,11371,7,2,13
"93",1,16498,10,2,25
"94",1,25777,10,2,12
"95",1,35760,10,2,12
"96",1,28171,8,2,24
"97",1,40902,7,2,13
"98",1,32282,8,2,13
"99",1,35788,8,2,12
"100",1,36949,8,2,12
"101",1,39940,7,2,10
"102",1,35847,7,2,12
"103",1,9253,10,2,24
"104",1,30484,10,2,23
"105",1,11577,10,2,1
"106",1,32188,10,2,1
"107",1,11757,5,2,25
"108",1,21881,5,2,24
"109",1,38826,8,2,1
"110",1,22,9,2,178
"111",1,995,8,2,13
"112",1,4053,9,2,7
"113",1,2752,8,2,6
"114",1,37430,8,2,24
"115",1,41353,8,2,13
"116",1,16870,9,2,1
"117",1,4224,9,2,25
"118",1,37521,9,2,24
"119",1,33352,7,2,13
"120",1,14813,8,2,13
"121",1,39547,9,2,12
"122",1,18753,7,2,1
"123",1,23847,8,2,13
"124",1,33161,8,2,1
"125",1,37779,9,2,12
"126",1,35507,7,2,12
"127",1,40456,0,3,0
"128",1,36098,0,3,0
"129",1,269,7,4,150
"130",1,41587,0,6,0
"131",1,42938,0,6,0
"132",1,12189,0,6,0
"133",1,36862,0,6,0
"134",1,38882,0,6,0
"135",1,42395,0,6,0
"136",1,42205,0,6,0
"137",1,3588,0,6,0
"138",1,41487,0,6,0
"139",1,41488,0,6,0
"140",2,24833,0,1,0
"141",2,235,10,1,100
"142",2,36721,0,1,1
"143",2,40956,0,1,0
"144",2,31933,0,1,3
"145",2,5042,8,1,0
"146",2,7593,8,1,12
"147",2,21,9,1,0
"148",2,35446,0,1,2
"149",2,24,0,1,15
"150",2,22,9,1,60
"151",2,38034,0,1,2
"152",2,17251,0,1,1
"153",2,5762,7,2,3
"154",2,31580,7,2,13
"155",2,33253,0,2,13
"156",2,35028,8,2,2
"157",2,9513,0,2,60
"158",2,368,8,2,6
"159",2,11633,0,2,10
"160",2,31964,8,2,13
"161",2,33486,9,2,25
"162",2,31740,7,2,3
"163",2,1470,0,2,51
"164",2,1575,9,2,25
"165",2,2904,10,2,25
"166",2,1535,10,2,37
"167",2,28223,8,2,12
"168",2,226,8,2,13
"169",2,38671,8,2,24
"170",2,32872,7,2,2
"171",2,15,9,2,145
"172",2,71,8,2,24
"173",2,7661,8,2,26
"174",2,245,0,2,43
"175",2,263,10,2,75
"176",2,5258,0,2,26
"177",2,270,9,2,13
"178",2,24703,8,2,12
"179",2,15451,9,2,12
"180",2,8074,6,2,12
"181",2,11061,10,2,148
"182",2,28961,7,2,1
"183",2,34542,7,2,11
"184",2,14719,9,2,26
"185",2,20899,9,2,24
"186",2,26055,9,2,24
"187",2,34933,8,2,12
"188",2,37086,8,2,12
"189",2,1604,9,2,203
"190",2,22535,8,2,24
"191",2,189,8,2,24
"192",2,34599,7,2,13
"193",2,29575,8,2,4
"194",2,10620,8,2,26
"195",2,32182,9,2,12
"196",2,23755,9,2,24
"197",2,20,9,2,220
"198",2,1735,9,2,500
"199",2,35581,8,2,2
"200",2,5040,9,2,25
"201",2,30276,9,2,12
"202",2,34134,9,2,12
"203",2,6893,0,2,2
"204",2,11499,7,2,12
"205",2,29786,8,2,12
"206",2,16498,9,2,25
"207",2,28171,9,2,24
"208",2,32282,0,2,13
"209",2,9253,9,2,24
"210",2,3455,8,2,26
"211",2,22319,8,2,12
"212",2,10851,4,4,2
"213",2,40658,0,6,0
"214",2,29809,0,6,0
"215",2,25397,0,6,0
"216",2,2852,0,6,0
"217",2,1635,0,6,0
"218",2,1636,0,6,0
"219",2,40337,0,6,0
"220",2,39085,0,6,0
"221",2,857,0,6,0
"222",2,9721,0,6,0
"223",2,36625,0,6,0
"224",2,6987,0,6,0
"225",2,8577,0,6,0
"226",2,9849,0,6,0
"227",2,4010,0,6,0
"228",2,16642,0,6,0
"229",2,41261,0,6,0
"230",2,30614,0,6,0
"231",2,4600,0,6,0
"232",2,31101,0,6,0
"233",2,4358,0,6,0
"234",2,39068,0,6,0
"235",2,10697,0,6,0
"236",2,2251,0,6,0
"237",2,32667,0,6,0
"238",2,5081,0,6,0
"239",2,34443,0,6,0
"240",2,36225,0,6,0
"241",2,24641,0,6,0
"242",2,2871,0,6,0
"243",2,972,0,6,0
"244",2,2873,0,6,0
"245",2,5347,0,6,0
"246",2,1401,0,6,0
"247",2,13223,0,6,0
"248",2,889,0,6,0
"249",2,10694,0,6,0
"250",2,2413,0,6,0
"251",2,36456,0,6,0
"252",2,38408,0,6,0
"253",2,36896,0,6,0
"254",2,39565,0,6,0
"255",2,42603,0,6,0
"256",2,40472,0,6,0
"257",2,38252,0,6,0
"258",2,25667,0,6,0
"259",2,5464,0,6,0
"260",2,12293,0,6,0
"261",2,37089,0,6,0
"262",2,6558,0,6,0
"263",2,17543,0,6,0
"264",2,2352,0,6,0
"265",2,37699,0,6,0
"266",2,2025,0,6,0
"267",2,14353,0,6,0
"268",2,34497,0,6,0
"269",2,21001,0,6,0
"270",2,35120,0,6,0
"271",2,18689,0,6,0
"272",2,2432,0,6,0
"273",2,7456,0,6,0
"274",2,3324,0,6,0
"275",2,37405,0,6,0
"276",2,20377,0,6,0
"277",2,37520,0,6,0
"278",2,38691,0,6,0
"279",2,30694,0,6,0
"280",2,31339,0,6,0
"281",2,31886,0,6,0
"282",2,38038,0,6,0
"283",2,37088,0,6,0
"284",2,33393,0,6,0
"285",2,790,0,6,0
"286",2,39365,0,6,0
"287",2,31788,0,6,0
"288",2,10779,0,6,0
"289",2,6702,0,6,0
"290",2,22043,0,6,0
"291",2,35972,0,6,0
"292",2,2134,0,6,0
"293",2,10087,0,6,0
"294",2,11741,0,6,0
"295",2,7053,0,6,0
"296",2,16638,0,6,0
"297",2,33231,0,6,0
"298",2,21829,0,6,0
"299",2,12957,0,6,0
"300",2,2136,0,6,0
"301",2,73,0,6,0
"302",2,5114,0,6,0
"303",2,36876,0,6,0
"304",2,23033,0,6,0
"305",2,24987,0,6,0
"306",2,21521,0,6,0
"307",2,30583,0,6,0
"308",2,28779,0,6,0
"309",2,30243,0,6,0
"310",2,25183,0,6,0
"311",2,239,0,6,0
"312",2,17491,0,6,0
"313",2,29261,0,6,0
"314",2,918,0,6,0
"315",2,9969,0,6,0
"316",2,17729,0,6,0
"317",2,3002,0,6,0
"318",2,31859,0,6,0
"319",2,20583,0,6,0
"320",2,28891,0,6,0
"321",2,32935,0,6,0
"322",2,40262,0,6,0
"323",2,38883,0,6,0
"324",2,40776,0,6,0
"325",2,264,0,6,1
"326",2,265,0,6,0
"327",2,19647,0,6,0
"328",2,34403,0,6,0
"329",2,21855,0,6,0
"330",2,14991,0,6,0
"331",2,5097,0,6,0
"332",2,2798,0,6,0
"333",2,777,0,6,0
"334",2,11077,0,6,0
"335",2,5651,0,6,0
"336",2,9322,0,6,0
"337",2,5630,0,6,0
"338",2,11617,0,6,0
"339",2,934,0,6,0
"340",2,5211,0,6,0
"341",2,33421,0,6,0
"342",2,6337,0,6,0
"343",2,36051,0,6,0
"344",2,31518,0,6,0
"345",2,35512,0,6,0
"346",2,29807,0,6,0
"347",2,37474,0,6,0
"348",2,14659,0,6,0
"349",2,13271,0,6,0
"350",2,19951,0,6,0
